order_date,order_id,customer_id,customer_name,customer_type,region,product,category,quantity,unit_price,discount_rate,sales_amount,profit_amount
2025-01-05,SO-250001,C001,星海科技,Enterprise,East,Agent Pro,Software,12,899,0.10,9709.20,4077.86
2025-01-09,SO-250002,C006,远山工作室,SMB,South,Agent Basic,Software,18,299,0.05,5112.90,1789.52
2025-01-14,SO-250003,C011,林间个人店,Individual,North,Prompt Pack,Content,30,79,0.00,2370.00,1659.00
2025-01-22,SO-250004,C004,云帆教育,Enterprise,West,Knowledge Base,Service,6,1599,0.08,8826.48,3089.27
2025-02-03,SO-250005,C002,极光数据,Enterprise,North,Agent Pro,Software,15,899,0.12,11866.80,4984.06
2025-02-11,SO-250006,C007,青禾电商,SMB,East,Workflow Kit,Software,20,499,0.06,9381.20,3752.48
2025-02-17,SO-250007,C012,风铃设计,Individual,South,Prompt Pack,Content,24,79,0.00,1896.00,1327.20
2025-02-25,SO-250008,C005,北辰制造,Enterprise,North,Model Gateway,Service,5,2199,0.05,10445.25,3133.58
2025-03-04,SO-250009,C003,启明医疗,Enterprise,South,Knowledge Base,Service,8,1599,0.10,11512.80,4029.48
2025-03-10,SO-250010,C008,麦田咨询,SMB,West,Agent Basic,Software,22,299,0.05,6249.10,2187.19
2025-03-19,SO-250011,C010,拾光传媒,SMB,North,Workflow Kit,Software,16,499,0.04,7664.64,3065.86
2025-03-27,SO-250012,C013,月白开发者,Individual,East,Prompt Pack,Content,35,79,0.00,2765.00,1935.50
2025-04-02,SO-250013,C001,星海科技,Enterprise,East,Model Gateway,Service,7,2199,0.08,14161.56,4248.47
2025-04-12,SO-250014,C006,远山工作室,SMB,South,Agent Basic,Software,25,299,0.07,6951.75,2433.11
2025-04-18,SO-250015,C009,松果零售,SMB,East,Workflow Kit,Software,18,499,0.05,8532.90,3413.16
2025-04-28,SO-250016,C014,晴川创作者,Individual,West,Prompt Pack,Content,28,79,0.00,2212.00,1548.40
2025-05-06,SO-250017,C002,极光数据,Enterprise,North,Agent Pro,Software,20,899,0.10,16182.00,6796.44
2025-05-13,SO-250018,C004,云帆教育,Enterprise,West,Knowledge Base,Service,10,1599,0.08,14710.80,5148.78
2025-05-21,SO-250019,C007,青禾电商,SMB,East,Agent Basic,Software,30,299,0.06,8431.80,2951.13
2025-05-29,SO-250020,C011,林间个人店,Individual,North,Prompt Pack,Content,40,79,0.02,3096.80,2167.76
2025-06-04,SO-250021,C003,启明医疗,Enterprise,South,Model Gateway,Service,8,2199,0.09,16008.72,4802.62
2025-06-12,SO-250022,C005,北辰制造,Enterprise,North,Knowledge Base,Service,9,1599,0.07,13383.63,4684.27
2025-06-20,SO-250023,C008,麦田咨询,SMB,West,Workflow Kit,Software,24,499,0.05,11377.20,4550.88
2025-06-27,SO-250024,C012,风铃设计,Individual,South,Agent Basic,Software,10,299,0.00,2990.00,1046.50
2025-07-03,SO-250025,C001,星海科技,Enterprise,East,Agent Pro,Software,22,899,0.08,18195.76,7642.22
2025-07-11,SO-250026,C006,远山工作室,SMB,South,Workflow Kit,Software,28,499,0.06,13134.32,5253.73
2025-07-19,SO-250027,C009,松果零售,SMB,East,Agent Basic,Software,26,299,0.05,7385.30,2584.86
2025-07-28,SO-250028,C013,月白开发者,Individual,East,Prompt Pack,Content,45,79,0.00,3555.00,2488.50
2025-08-05,SO-250029,C002,极光数据,Enterprise,North,Model Gateway,Service,9,2199,0.08,18207.72,5462.32
2025-08-14,SO-250030,C004,云帆教育,Enterprise,West,Agent Pro,Software,16,899,0.10,12945.60,5437.15
2025-08-21,SO-250031,C007,青禾电商,SMB,East,Workflow Kit,Software,32,499,0.05,15169.60,6067.84
2025-08-29,SO-250032,C014,晴川创作者,Individual,West,Agent Basic,Software,12,299,0.00,3588.00,1255.80
2025-09-02,SO-250033,C003,启明医疗,Enterprise,South,Knowledge Base,Service,12,1599,0.08,17652.96,6178.54
2025-09-10,SO-250034,C005,北辰制造,Enterprise,North,Agent Pro,Software,18,899,0.07,15049.26,6320.69
2025-09-18,SO-250035,C008,麦田咨询,SMB,West,Agent Basic,Software,34,299,0.06,9556.04,3344.61
2025-09-26,SO-250036,C010,拾光传媒,SMB,North,Workflow Kit,Software,25,499,0.04,11976.00,4790.40
2025-10-07,SO-250037,C001,星海科技,Enterprise,East,Model Gateway,Service,11,2199,0.07,22495.77,6748.73
2025-10-15,SO-250038,C006,远山工作室,SMB,South,Agent Pro,Software,14,899,0.08,11579.12,4863.23
2025-10-22,SO-250039,C009,松果零售,SMB,East,Workflow Kit,Software,36,499,0.05,17065.80,6826.32
2025-10-30,SO-250040,C011,林间个人店,Individual,North,Prompt Pack,Content,52,79,0.03,3986.84,2790.79
2025-11-04,SO-250041,C002,极光数据,Enterprise,North,Agent Pro,Software,25,899,0.08,20677.00,8684.34
2025-11-12,SO-250042,C004,云帆教育,Enterprise,West,Model Gateway,Service,10,2199,0.09,20010.90,6003.27
2025-11-20,SO-250043,C007,青禾电商,SMB,East,Agent Basic,Software,38,299,0.05,10790.90,3776.82
2025-11-27,SO-250044,C012,风铃设计,Individual,South,Prompt Pack,Content,48,79,0.02,3716.16,2601.31
2025-12-03,SO-250045,C003,启明医疗,Enterprise,South,Agent Pro,Software,28,899,0.07,23410.76,9832.52
2025-12-11,SO-250046,C005,北辰制造,Enterprise,North,Model Gateway,Service,12,2199,0.08,24276.96,7283.09
2025-12-19,SO-250047,C008,麦田咨询,SMB,West,Workflow Kit,Software,40,499,0.05,18962.00,7584.80
2025-12-27,SO-250048,C014,晴川创作者,Individual,West,Prompt Pack,Content,60,79,0.03,4597.80,3218.46
